velocity,amplitude
84.39883,-0.13862
84.35075,-0.01972
84.30267,0.024844
84.25459,0.130694
84.20652,0.279755
84.15844,0.185095
84.11036,-0.089932
84.06228,-0.214255
84.0142,-0.073133
83.96613,0.05195
83.91805,-0.019182
83.86997,-0.118056
83.82189,-0.006881
83.77381,0.164554
83.72574,0.109844
83.67766,-0.045077
83.62958,0.103902
83.5815,0.361623
83.53342,0.252278
83.48535,0.127196
83.43727,0.076514
83.38919,-0.082216
83.34111,-0.08172
83.29304,0.048866
83.24496,0.119446
83.19688,0.14213
83.1488,0.014897
83.10072,-0.169
83.05264,-0.198625
83.00457,-0.116611
82.95649,0.116827
82.90841,0.332147
82.86033,0.309567
82.81225,0.203841
82.76418,0.111448
82.7161,0.04441
82.66802,0.060604
82.61994,0.1023
82.57187,0.127608
82.52379,0.013628
82.47571,-0.031728
82.42763,0.128329
82.37955,0.178413
82.33147,0.057513
82.2834,-0.258558
82.23532,-0.472859
82.18724,-0.389042
82.13916,-0.305614
82.09109,-0.247106
82.04301,-0.241346
81.99493,-0.346251
81.94685,-0.197649
81.89877,0.136801
81.8507,0.112425
81.80262,0.048729
81.75454,0.202632
81.70646,0.194511
81.65838,0.118903
81.6103,0.145996
81.56223,0.223164
81.51415,0.175399
81.46607,0.065461
81.41799,0.197254
81.36992,0.172476
81.32184,-0.104747
81.27376,-0.003002
81.22568,-0.001813
81.1776,-0.303368
81.12953,-0.323787
81.08145,-0.304188
81.03337,-0.333058
80.98529,-0.239079
80.93721,-0.167841
80.88913,-0.241904
80.84106,-0.221446
80.79298,-0.123397
80.7449,-0.177242
80.69682,-0.086569
80.64875,0.199089
80.60067,0.236979
80.55259,0.012463
80.50451,-0.172056
80.45643,-0.217014
80.40836,-0.140763
80.36028,-0.099656
80.3122,-0.162312
80.26412,-0.108242
80.21604,0.058246
80.16797,0.197216
80.11989,0.274128
80.07181,0.085988
80.02373,-0.090312
79.97565,0.010365
79.92758,0.020024
79.8795,-0.085972
79.83142,-0.062975
79.78334,0.078354
79.73526,0.059827
79.68719,-0.064944
79.63911,-0.002117
79.59103,0.086604
79.54295,0.109202
79.49487,0.068617
79.4468,-0.057845
79.39872,-0.02393
79.35064,0.048701
79.30256,0.037723
79.25448,0.097088
79.20641,0.006708
79.15833,-0.088409
79.11025,-0.183932
79.06217,-0.320206
79.01409,-0.072796
78.96602,0.120591
